Comunidades y Ciudades Autónomas de destino;País de residencia;Periodo;Total
Andalucía;Polonia;2024T4;335,17
Andalucía;Polonia;2024T3;343,29
Andalucía;Polonia;2024T2;327,39
Andalucía;Polonia;2024T1;340,07
Andalucía;Polonia;2023T4;304,71
Andalucía;Polonia;2023T3;320,56
Andalucía;Polonia;2023T2;315,93
Andalucía;Polonia;2023T1;313,56
Andalucía;Polonia;2022T4;300,21
Andalucía;Polonia;2022T3;299,18
Andalucía;Polonia;2022T2;288,15
Andalucía;Polonia;2022T1;319,25
Andalucía;Polonia;2021T4;285,12
Andalucía;Polonia;2021T3;262,00
Andalucía;Polonia;2021T2;236,00
Andalucía;Polonia;2021T1;270,85
Andalucía;Polonia;2020T4;252,89
Andalucía;Polonia;2020T3;234,40
Andalucía;Polonia;2020T2;.
Andalucía;Polonia;2020T1;232,75
Andalucía;Polonia;2019T4;200,14
Andalucía;Polonia;2019T3;227,50
Andalucía;Polonia;2019T2;231,31
Andalucía;Polonia;2019T1;270,10
Andalucía;Polonia;2018T4;236,42
Andalucía;Polonia;2018T3;252,27
Andalucía;Polonia;2018T2;222,71
Andalucía;Polonia;2018T1;268,63
Andalucía;Portugal;2025T2;476,10
Andalucía;Portugal;2025T1;576,47
Andalucía;Portugal;2024T4;493,77
Andalucía;Portugal;2024T3;517,31
Andalucía;Portugal;2024T2;456,69
Andalucía;Portugal;2024T1;543,17
Andalucía;Portugal;2023T4;486,63
Andalucía;Portugal;2023T3;489,53
Andalucía;Portugal;2023T2;453,90
Andalucía;Portugal;2023T1;481,13
Andalucía;Portugal;2022T4;471,65
Andalucía;Portugal;2022T3;486,43
Andalucía;Portugal;2022T2;432,86
Andalucía;Portugal;2022T1;494,24
Andalucía;Portugal;2021T4;432,28
Andalucía;Portugal;2021T3;396,59
Andalucía;Portugal;2021T2;303,44
Andalucía;Portugal;2021T1;325,16
Andalucía;Portugal;2020T4;311,95
Andalucía;Portugal;2020T3;305,50
Andalucía;Portugal;2020T2;.
Andalucía;Portugal;2020T1;347,09
Andalucía;Portugal;2019T4;321,73
Andalucía;Portugal;2019T3;339,67
Andalucía;Portugal;2019T2;308,20
Andalucía;Portugal;2019T1;370,35
Andalucía;Portugal;2018T4;320,85
Andalucía;Portugal;2018T3;317,21
Andalucía;Portugal;2018T2;262,40
Andalucía;Portugal;2018T1;332,83
Andalucía;Reino Unido;2025T2;449,55
Andalucía;Reino Unido;2025T1;507,67
Andalucía;Reino Unido;2024T4;457,38
Andalucía;Reino Unido;2024T3;472,05
Andalucía;Reino Unido;2024T2;439,36
Andalucía;Reino Unido;2024T1;494,97
Andalucía;Reino Unido;2023T4;446,28
Andalucía;Reino Unido;2023T3;445,72
Andalucía;Reino Unido;2023T2;445,78
Andalucía;Reino Unido;2023T1;444,49
Andalucía;Reino Unido;2022T4;438,45
Andalucía;Reino Unido;2022T3;447,84
Andalucía;Reino Unido;2022T2;422,61
Andalucía;Reino Unido;2022T1;474,79
Andalucía;Reino Unido;2021T4;450,21
Andalucía;Reino Unido;2021T3;445,13
Andalucía;Reino Unido;2021T2;362,83
Andalucía;Reino Unido;2021T1;377,05
Andalucía;Reino Unido;2020T4;357,00
Andalucía;Reino Unido;2020T3;338,17
Andalucía;Reino Unido;2020T2;.
Andalucía;Reino Unido;2020T1;403,69
Andalucía;Reino Unido;2019T4;374,19
Andalucía;Reino Unido;2019T3;386,50
Andalucía;Reino Unido;2019T2;379,47
Andalucía;Reino Unido;2019T1;451,92
Andalucía;Reino Unido;2018T4;417,69
Andalucía;Reino Unido;2018T3;415,04
Andalucía;Reino Unido;2018T2;383,16
Andalucía;Reino Unido;2018T1;467,22
Andalucía;Rumanía;2025T2;359,02
Andalucía;Rumanía;2025T1;442,43
Andalucía;Rumanía;2024T4;383,38
Andalucía;Rumanía;2024T3;402,57
Andalucía;Rumanía;2024T2;366,47
Andalucía;Rumanía;2024T1;409,70
Andalucía;Rumanía;2023T4;374,07
Andalucía;Rumanía;2023T3;412,15
Andalucía;Rumanía;2023T2;366,93
Andalucía;Rumanía;2023T1;386,84
Andalucía;Rumanía;2022T4;384,27
Andalucía;Rumanía;2022T3;435,73
Andalucía;Rumanía;2022T2;372,06
Andalucía;Rumanía;2022T1;437,03
Andalucía;Rumanía;2021T4;406,26
Andalucía;Rumanía;2021T3;372,49
Andalucía;Rumanía;2021T2;329,70
Andalucía;Rumanía;2021T1;355,49
Andalucía;Rumanía;2020T4;352,44
Andalucía;Rumanía;2020T3;330,28
Andalucía;Rumanía;2020T2;.
Andalucía;Rumanía;2020T1;372,02
Andalucía;Rumanía;2019T4;347,64
Andalucía;Rumanía;2019T3;355,12
Andalucía;Rumanía;2019T2;399,77
Andalucía;Rumanía;2019T1;423,33
Andalucía;Rumanía;2018T4;370,00
Andalucía;Rumanía;2018T3;381,08
Andalucía;Rumanía;2018T2;349,08
Andalucía;Rumanía;2018T1;390,08
Andalucía;Rusia;2025T2;.
Andalucía;Rusia;2025T1;.
Andalucía;Rusia;2024T4;.
Andalucía;Rusia;2024T3;.
Andalucía;Rusia;2024T2;.
Andalucía;Rusia;2024T1;.
Andalucía;Rusia;2023T4;.
Andalucía;Rusia;2023T3;.
Andalucía;Rusia;2023T2;.
Andalucía;Rusia;2023T1;.
Andalucía;Rusia;2022T4;.
Andalucía;Rusia;2022T3;.
Andalucía;Rusia;2022T2;.
Andalucía;Rusia;2022T1;1.085,16
Andalucía;Rusia;2021T4;633,58
Andalucía;Rusia;2021T3;607,09
Andalucía;Rusia;2021T2;494,77
Andalucía;Rusia;2021T1;533,15
Andalucía;Rusia;2020T4;490,85
Andalucía;Rusia;2020T3;481,23
Andalucía;Rusia;2020T2;.
Andalucía;Rusia;2020T1;521,36
Andalucía;Rusia;2019T4;439,61
Andalucía;Rusia;2019T3;451,98
Andalucía;Rusia;2019T2;444,10
Andalucía;Rusia;2019T1;572,06
Andalucía;Rusia;2018T4;471,56
Andalucía;Rusia;2018T3;470,55
Andalucía;Rusia;2018T2;419,10
Andalucía;Rusia;2018T1;559,24
Andalucía;Suecia;2025T2;453,47
Andalucía;Suecia;2025T1;519,82
Andalucía;Suecia;2024T4;460,93
Andalucía;Suecia;2024T3;444,25
Andalucía;Suecia;2024T2;418,37
Andalucía;Suecia;2024T1;498,07
Andalucía;Suecia;2023T4;435,32
Andalucía;Suecia;2023T3;420,41
Andalucía;Suecia;2023T2;428,32
Andalucía;Suecia;2023T1;446,14
Andalucía;Suecia;2022T4;429,41
Andalucía;Suecia;2022T3;423,40
Andalucía;Suecia;2022T2;412,31
Andalucía;Suecia;2022T1;474,38
Andalucía;Suecia;2021T4;435,09
Andalucía;Suecia;2021T3;402,77
Andalucía;Suecia;2021T2;345,64
Andalucía;Suecia;2021T1;347,01
Andalucía;Suecia;2020T4;314,65
Andalucía;Suecia;2020T3;318,62
Andalucía;Suecia;2020T2;.
Andalucía;Suecia;2020T1;342,37
Andalucía;Suecia;2019T4;310,62
Andalucía;Suecia;2019T3;304,50
Andalucía;Suecia;2019T2;296,36
Andalucía;Suecia;2019T1;358,04
Andalucía;Suecia;2018T4;311,04
Andalucía;Suecia;2018T3;286,04
Andalucía;Suecia;2018T2;267,86
Andalucía;Suecia;2018T1;335,29
Andalucía;Suiza;2025T2;662,90
Andalucía;Suiza;2025T1;790,74
Andalucía;Suiza;2024T4;693,54
Andalucía;Suiza;2024T3;716,96
Andalucía;Suiza;2024T2;669,78
Andalucía;Suiza;2024T1;797,08
Andalucía;Suiza;2023T4;696,25
Andalucía;Suiza;2023T3;696,44
Andalucía;Suiza;2023T2;695,47
Andalucía;Suiza;2023T1;735,73
Andalucía;Suiza;2022T4;707,92
Andalucía;Suiza;2022T3;724,71
Andalucía;Suiza;2022T2;682,85
Andalucía;Suiza;2022T1;776,81
Andalucía;Suiza;2021T4;718,21
Andalucía;Suiza;2021T3;658,51
Andalucía;Suiza;2021T2;617,93
Andalucía;Suiza;2021T1;753,08
Andalucía;Suiza;2020T4;752,95
Andalucía;Suiza;2020T3;634,63
Andalucía;Suiza;2020T2;.
Andalucía;Suiza;2020T1;721,59
Andalucía;Suiza;2019T4;634,52
Andalucía;Suiza;2019T3;656,38
Andalucía;Suiza;2019T2;625,50
Andalucía;Suiza;2019T1;799,29
Andalucía;Suiza;2018T4;673,67
Andalucía;Suiza;2018T3;625,80
Andalucía;Suiza;2018T2;570,87
Andalucía;Suiza;2018T1;754,26
Andalucía;Otros Países Europeos;2025T2;409,47
Andalucía;Otros Países Europeos;2025T1;466,35
Andalucía;Otros Países Europeos;2024T4;426,59
Andalucía;Otros Países Europeos;2024T3;440,93
Andalucía;Otros Países Europeos;2024T2;399,29
Andalucía;Otros Países Europeos;2024T1;463,61
Andalucía;Otros Países Europeos;2023T4;425,83
Andalucía;Otros Países Europeos;2023T3;429,40
Andalucía;Otros Países Europeos;2023T2;411,56
Andalucía;Otros Países Europeos;2023T1;429,63
Andalucía;Otros Países Europeos;2022T4;422,93
Andalucía;Otros Países Europeos;2022T3;424,08
Andalucía;Otros Países Europeos;2022T2;377,95
Andalucía;Otros Países Europeos;2022T1;425,73
Andalucía;Otros Países Europeos;2021T4;411,80
Andalucía;Otros Países Europeos;2021T3;371,21
Andalucía;Otros Países Europeos;2021T2;334,39
Andalucía;Otros Países Europeos;2021T1;374,87
Andalucía;Otros Países Europeos;2020T4;364,12
Andalucía;Otros Países Europeos;2020T3;344,75
Andalucía;Otros Países Europeos;2020T2;.
Andalucía;Otros Países Europeos;2020T1;346,75
Andalucía;Otros Países Europeos;2019T4;312,55
Andalucía;Otros Países Europeos;2019T3;330,20
Andalucía;Otros Países Europeos;2019T2;320,21
Andalucía;Otros Países Europeos;2019T1;400,09
Andalucía;Otros Países Europeos;2018T4;358,16
Andalucía;Otros Países Europeos;2018T3;347,11
Andalucía;Otros Países Europeos;2018T2;309,97
Andalucía;Otros Países Europeos;2018T1;402,64
Andalucía;Argentina;2025T2;383,61
Andalucía;Argentina;2025T1;428,74
Andalucía;Argentina;2024T4;360,55
Andalucía;Argentina;2024T3;388,06
Andalucía;Argentina;2024T2;338,84
Andalucía;Argentina;2024T1;362,88
Andalucía;Argentina;2023T4;297,59
Andalucía;Argentina;2023T3;315,97
Andalucía;Argentina;2023T2;301,27
Andalucía;Argentina;2023T1;290,02
Andalucía;Argentina;2022T4;287,70
Andalucía;Argentina;2022T3;318,41
Andalucía;Argentina;2022T2;272,90
Andalucía;Argentina;2022T1;318,46
Andalucía;Argentina;2021T4;306,13
Andalucía;Argentina;2021T3;304,00
Andalucía;Argentina;2021T2;254,15
Andalucía;Argentina;2021T1;243,60
Andalucía;Argentina;2020T4;235,94
Andalucía;Argentina;2020T3;236,30
Andalucía;Argentina;2020T2;.
Andalucía;Argentina;2020T1;209,04
Andalucía;Argentina;2019T4;208,28
Andalucía;Argentina;2019T3;223,95
Andalucía;Argentina;2019T2;209,12
Andalucía;Argentina;2019T1;241,74
Andalucía;Argentina;2018T4;219,81
Andalucía;Argentina;2018T3;226,15
Andalucía;Argentina;2018T2;205,19
Andalucía;Argentina;2018T1;255,39
Andalucía;Brasil;2025T2;291,83
Andalucía;Brasil;2025T1;353,02
Andalucía;Brasil;2024T4;292,07
Andalucía;Brasil;2024T3;321,63
Andalucía;Brasil;2024T2;304,52
Andalucía;Brasil;2024T1;370,91
Andalucía;Brasil;2023T4;301,29
Andalucía;Brasil;2023T3;329,92
Andalucía;Brasil;2023T2;315,83
Andalucía;Brasil;2023T1;327,27
Andalucía;Brasil;2022T4;329,03
Andalucía;Brasil;2022T3;347,53
Andalucía;Brasil;2022T2;339,39
Andalucía;Brasil;2022T1;404,19
Andalucía;Brasil;2021T4;404,44
Andalucía;Brasil;2021T3;392,08
Andalucía;Brasil;2021T2;308,44
Andalucía;Brasil;2021T1;342,80
Andalucía;Brasil;2020T4;313,93
Andalucía;Brasil;2020T3;323,29
Andalucía;Brasil;2020T2;.
Andalucía;Brasil;2020T1;342,35
Andalucía;Brasil;2019T4;302,17
Andalucía;Brasil;2019T3;315,03
Andalucía;Brasil;2019T2;302,25
Andalucía;Brasil;2019T1;384,19
Andalucía;Brasil;2018T4;371,27
Andalucía;Brasil;2018T3;324,15
Andalucía;Brasil;2018T2;283,46
Andalucía;Brasil;2018T1;346,82
Andalucía;Canadá;2025T2;405,65
Andalucía;Canadá;2025T1;534,54
Andalucía;Canadá;2024T4;437,23
Andalucía;Canadá;2024T3;470,70
Andalucía;Canadá;2024T2;404,59
Andalucía;Canadá;2024T1;500,00
Andalucía;Canadá;2023T4;419,15
Andalucía;Canadá;2023T3;438,07
Andalucía;Canadá;2023T2;390,94
Andalucía;Canadá;2023T1;447,87
Andalucía;Canadá;2022T4;417,35
Andalucía;Canadá;2022T3;422,22
Andalucía;Canadá;2022T2;370,30
Andalucía;Canadá;2022T1;473,83
Andalucía;Canadá;2021T4;483,46
Andalucía;Canadá;2021T3;497,32
Andalucía;Canadá;2021T2;452,49
Andalucía;Canadá;2021T1;516,27
Andalucía;Canadá;2020T4;444,02
Andalucía;Canadá;2020T3;392,93
Andalucía;Canadá;2020T2;.
Andalucía;Canadá;2020T1;349,38
Andalucía;Canadá;2019T4;302,26
Andalucía;Canadá;2019T3;312,90
